edad,ingreso_mensual,antiguedad_cliente,saldo_promedio,cantidad_productos,transacciones_mensuales,uso_banca_digital,deuda_vigente
47,4959870.925153718,11.879804548717289,5622111.623863534,7,26.91058190837459,63.822633812045595,1500557.4187941784
44,2490421.6312141945,4.741961361366652,1251055.6130482543,5,52.84603306245263,83.09659645601063,2238291.018210441
54,1160426.0281230663,5.154410251234319,433005.86727804574,2,43.48284296435985,53.105543107430854,5416488.623522406
37,1852445.9306854235,5.970711068247435,1735425.0293425354,4,58.59309114098159,78.3225741963032,2673696.2030925886
42,1849595.8593349436,4.644904360018191,434015.4934311684,3,40.43443077144312,69.34664507886446,5841983.581905312
46,1403945.8773099575,4.964281687350226,254479.32920780353,2,33.39524188414942,66.0177792749305,5561365.718922572
42,1927143.447049252,4.893984636380511,1708985.9813371385,4,69.62344976744632,77.29612744232465,2566424.8992422614
53,4062155.461611745,13.077055144656832,7359225.914487273,6,44.721423098236706,51.564772423619196,2022917.9916963056
20,1105775.5510150134,1.6524773887376951,266582.88708967646,1,47.888767600990455,90.76692781857876,553209.5991836641
65,4074833.35063938,14.131204848045485,7554218.477680204,5,48.8877272527875,58.97196629008529,1963614.290807986
61,3777552.7070017615,13.056425488991298,7003490.573005671,7,24.88381498262642,63.940572275482744,2156706.618943205
19,876530.3269473806,1.204823017233477,240035.66589060583,2,37.967057044689966,88.13318055217466,542079.5296673415
48,5726030.474964764,21.124673023311722,6895631.714888833,6,40.89215316156888,67.29863371862267,1661629.530235455
38,1580983.1757857727,7.620292567476204,1250815.7976254367,3,58.36407330428636,94.83513431666938,2398450.296674734
42,1586796.3320267207,5.323939162758091,1149164.8623085595,5,75.19353992606182,81.4323508638292,2515500.633187294
20,704876.3209695999,3.7315394331805045,321431.3871404015,2,45.585297172281905,94.18091868817214,398390.21913145453
50,1186229.338412778,5.951087896726734,287794.60501838813,4,18.69164951089882,40.80163046505867,7550256.5264487555
45,2172686.38653909,7.922122640412223,1393652.077235154,5,68.07204832261976,71.47286128310922,1801867.0084050596
19,889532.6880361462,1.207703011272176,386274.9154646398,2,53.65193938658277,84.17220672045431,306983.6162895687
44,1320048.472726923,6.421800521610933,228097.22781440258,4,28.86964817134126,77.69551022363098,5825064.161376034
28,1021397.0477969549,1.4866997052212758,262846.7755748652,2,45.20806383190797,95.45712312199593,402669.93063987326
27,1921615.853931196,8.678499596371054,1243353.2214926707,5,40.96554455538814,75.7829469565534,2007920.7375124672
51,4004704.450752193,11.919320554426589,6695710.406020605,6,36.44681041276862,59.91151153227554,1267853.5212619468
40,1739499.2378897357,4.258188818989733,504860.10172866,4,32.05475751006132,41.50127116821701,6231973.6243424
48,1187247.7459756308,6.690120098176897,530180.8707194114,2,31.91265697938242,69.08255908341027,5991104.71491491
57,4631801.150162516,16.610911930676913,5641522.194910466,7,44.63581846188303,60.09961693394595,1432248.5750078312
43,1344921.6050514693,3.713033848520004,472182.976486332,3,46.02756807935354,78.7784574404121,4993720.503114984
26,1190489.8023614495,1.5386428533572012,333692.4608421407,2,37.32969910909475,91.62791453074713,352701.93515794026
27,775596.4035713025,2.507052818085918,186437.6702624863,2,40.26594613702375,88.71315381254497,532952.4304801213
47,1496877.332884105,6.7123929975700065,452856.4557952872,3,38.77885469166266,62.97130127967383,5523055.739627927
41,1358770.6362695443,4.22084179431709,465434.6833523163,2,33.21966838184943,55.236099313826145,6553485.713279388
45,1027232.8257309766,2.381437634048226,143194.24743858495,4,43.506835344679445,66.59508189870982,5460352.85546051
15,904087.4501145021,2.4671610517091933,449397.66849156487,2,55.68568705908607,92.35123741335084,390130.36687585193
35,825186.7324917363,1.0075725225008083,197914.14994181824,2,32.09494583961361,88.88432966167106,699551.5926205101
43,1282761.791080707,3.351562029683005,350512.2177023282,3,33.58910794249039,73.39351896162852,5238201.570608371
39,1570088.420874289,3.7564017471681925,581403.6613293253,4,32.966434242974756,53.23207329941781,6526983.025128637
38,1728069.1379568328,6.040812500560849,1520454.329726353,3,55.40149021218952,72.86284482909228,3330817.2218795987
55,4242427.447685157,12.377871504591678,8011885.918187004,8,39.17744969372539,64.98207440225018,1495879.7419892794
50,4504184.311887087,9.871988556962343,6575837.454247292,6,29.471308030279538,42.46702947587464,1895994.6726494948
28,1403944.5316802275,1.1584346861017236,312151.091254133,4,44.83761098551585,61.93286335166411,7612245.644609197
39,1995024.8184619043,9.009237384696906,961877.7662699663,4,62.818395053507906,82.32786459342049,1151054.6463521519
34,2086858.5518173743,7.668914795054813,1299223.2691689737,4,59.45002123663537,66.0988224745101,2716534.149120922
28,985927.2830889839,0.6579118187244801,321119.22409045947,1,36.38811194322152,90.00239711182864,556733.4646521382
48,4771007.334231495,18.37150286297291,7555326.605839806,5,37.18003993353573,40.54461311633265,1106814.5050524818
18,1066802.0162880216,1.8534513953246936,245162.3971732423,2,46.80175780164951,82.29422315019477,567617.5694590056
42,2225999.919164124,8.1867856131305,1501703.0598279114,5,64.39351980071642,65.17793911199043,2900373.586134986
36,1306871.1393886853,7.462044148195081,1220827.0153477385,4,46.65394172881827,69.16064791674616,3556259.2373359445
24,974587.1679985487,1.0979689875118384,283520.9240480246,2,40.44269740599684,90.61634169259806,519299.2574521018
40,1851251.6420717845,7.673721616529857,954876.8283293503,4,67.52091668081454,71.99755822898392,2725554.959948611
34,1909729.518438644,5.880037277256285,1582840.2945903235,3,44.450291406313454,74.69122806967067,2481226.9662033017
47,1809806.2110688507,6.5272975474119175,1105711.1331176732,3,61.275718520009434,54.24187800428107,2879033.1880112803
49,3955135.633058796,16.892287115994982,6360473.226057788,5,37.08778076430907,53.25304030747579,1706402.8394000717
28,2263962.3879698655,6.804321394258234,1292213.6543853194,4,67.48569883835718,74.4804497629973,1544398.819880733
35,1608673.176542428,2.93259698132135,271871.4639652391,3,26.28932189579984,90.6883613416536,8050691.944056411
21,2177176.064528025,4.105563824038161,1796662.0233808008,5,62.24021713442131,77.98288436660059,3083441.607218761
24,1168116.6053212723,3.658669961477109,207127.12465394184,2,28.16071993918724,95.64647957545387,495187.21028471476
53,4296278.906550717,16.242475266155395,10007908.975177709,6,31.846254590274945,50.24163473484748,1429820.1662847223
34,1524010.6204395816,7.532550541689741,1283955.3481674772,4,45.34294620787549,78.92647671939748,2154866.563265591
24,1062931.3444449361,2.751798818404075,534524.8270589411,2,57.47913468162926,92.29868697647525,679575.2182973602
45,1619949.1704273769,8.124658663536147,517905.8596186959,3,27.578007213895845,92.29083064473156,6740849.015429047
37,1377986.3721388013,4.4194755944812805,615351.7432054349,3,33.61695652733308,81.17043561941912,5696197.1139213005
46,1690541.9560754583,4.438260275817118,751308.2719095434,3,47.25946092314853,81.09958935801134,2883495.333505641
51,3676410.0579837924,16.751367409337597,7201530.107752186,8,37.17289390925489,50.30837645082847,1432752.1264823028
27,869970.4383296212,4.3924268182638375,308880.6912237663,2,34.83613480994687,86.39508382960332,490716.9655896904
28,844623.6044416267,3.226734059296545,452656.1495485042,2,28.685596327071867,82.9420225524508,527203.6676421362
49,4721521.145021932,23.626264146234483,6668089.035898827,6,34.18919179362933,45.945295770311716,1381046.2591461493
32,549895.6379783414,2.308914025942046,283702.38777269033,2,38.27300895429493,84.1997973477747,458568.63077830785
32,1594504.643031149,5.297448506806193,739833.8102520648,4,45.14272456311542,68.45577328065009,2727601.9050248917
50,4445131.238740198,9.24924202192654,6294145.104847526,6,48.26230274816647,50.826241545024985,2399775.741759646
23,901502.1085080645,2.7667748548223936,337593.7845917469,1,32.19866835990943,92.98930811109473,619285.6856499129
54,1312602.9091891686,5.4892971143669795,490129.61847158294,4,30.31817978599463,64.65355336444298,6533090.595933616
45,1454501.9204880092,4.410893183438717,589824.0004770998,3,41.2571771146245,60.83429981374451,5668101.094512885
44,1881559.735145294,5.079931343991097,1468337.7521554183,4,55.01686391822587,79.04890581212781,2412137.2118316195
38,1903543.3506779794,9.456125614516605,1725056.640337274,3,56.830855551309604,76.09912470993447,3194103.128640765
36,1720922.2457326006,7.7017144724644355,1515828.6056569929,4,75.1941551877436,69.91756667923774,1911551.1206537033
49,4153870.011586466,12.678023677608845,6725417.334457078,8,43.74034316831395,53.31331142683551,1614361.4027826895
52,1707433.479908559,6.4599204107820025,406739.39991917793,3,37.124087338781855,63.382501278392525,5021288.110468317
38,1546846.8689590553,6.959307978723123,477480.2076407331,3,23.282886455332036,66.17009923795898,4931626.974457761
38,1162283.5603465848,5.94297414485895,487564.89934593736,3,32.82761619273479,69.11920884406084,7179289.075379108
53,5150335.363346159,16.183590601553988,6939084.564616606,6,60.349591971319825,60.851036070781596,2151872.916687178
49,4001118.741359149,16.498148362046628,8477939.275222372,6,32.89418881435005,51.95635154600505,1537228.5877139282
24,967888.7599664076,1.0775783680004238,255225.2280224939,1,42.51973774946423,90.15222517015708,521926.5818102002
31,1079527.0747577175,5.295305237706108,286712.884642922,4,44.773389696991416,57.22824329941235,6079015.082898374
30,1669875.7367961695,8.95405684096453,1191351.09619717,4,68.49714237871794,69.801464509392,1827759.0283581559
41,1550402.0166636803,3.2687739948123316,462091.9848716394,2,27.075517028514742,62.57684239356682,6634813.197522822
31,1978082.1483866614,6.9929116075851505,910658.4300363179,3,56.70918256837312,87.04766307295114,2243544.494699809
37,1497600.8241269204,9.315219193166882,1430108.8233719652,4,68.63747587555076,77.71143543330656,3103150.3334835405
48,4720026.902285343,10.768949090426549,8459950.292779097,6,30.27599906865378,60.297468080757895,1569548.9958359548
29,919958.847929321,1.8181683760877394,309188.82878429384,1,47.634034097002754,81.97489108975385,531226.4572875745
25,896467.4384622707,0.3850013534813401,195051.26292190113,2,41.95371559971028,83.09723664044543,561279.428833271
40,1640903.1491197743,5.212415463641902,334360.78973264433,2,35.15565861723959,62.979128735055404,7303582.727500618
33,1254603.60131813,6.016398414404607,1251971.7003802,4,75.85175604352224,90.13590343101993,2483061.584240213
37,1879004.638421111,5.945251940376323,1379013.757908918,5,59.26631628443699,69.35048082951315,2182673.826237728
44,3977258.5930200787,13.633445787996916,9390038.324206397,7,35.24003560681227,45.81867429796816,2267016.3278102065
17,985645.4341036521,1.399353953069233,271433.6279964889,1,43.53231510230815,98.78041162133367,502779.9099295143
23,1124147.1884420272,1.5239567908354585,352383.14784373913,1,45.31390387852686,89.40441263983577,355656.41200782656
35,1747520.7168574198,7.720048385112172,677750.3848385187,4,46.74114578629876,64.47043929066075,3299421.6916300906
51,1444053.1988781136,1.773149496994519,370314.19555824704,3,23.4250953466833,62.25559240928041,5998916.390482124
36,1636114.209653583,7.784322648351298,913877.3641424789,4,59.530854587287585,79.92086539570428,3260055.843283481
28,1516165.985332066,1.880512798215714,429992.66434839903,4,34.19593464886067,60.18769582605331,5950365.971455406
35,1650309.3689842091,7.760020848009066,1291419.7274688752,3,62.858993684461346,76.13666380651368,3480727.1798265344
33,2183439.4246292296,6.926952211782331,1049088.1583989584,5,68.19832222193052,80.91324818568802,2980910.3802942317
29,1076668.5440843774,2.7987351332404082,332535.37164885516,1,25.03960074484793,97.04010661514816,457633.66671032656
50,3247479.5962243774,10.806110848523069,5563542.576515058,6,42.05434922882012,63.423914046487994,2564815.2068060506
55,1338034.1984693755,2.9925108959632016,203433.98785671528,3,29.241453378728455,71.30411703560357,4958480.317943574
53,4193181.2127955183,17.125502195520525,7101937.369391193,6,44.74751839892162,47.20261850857538,1809395.3637043927
47,1726051.9935134884,2.920286498417136,420236.5280338138,2,23.400717911639475,80.61484540912242,4854496.988006324
46,4182025.750638232,8.374012612348066,6431816.098119529,8,40.0506079156928,52.796714491141444,1334592.6171325091
29,933311.2183036883,2.44235542587552,276374.58528844826,1,41.61654726821141,86.3307152685067,523672.034796504
38,1985575.619321052,3.688876184021511,447915.09655338194,3,21.848397740962863,90.10105005740795,5662978.932784041
56,4463632.365928555,17.190144762025028,7550275.0202545915,7,52.20441136358125,65.92029631394198,2534829.0492589865
28,1817647.5107793957,6.981729234989502,1266577.171254235,5,57.65457380757323,84.85395553557068,2342658.7140049716
47,1212218.3499181755,5.388657349701695,115707.11092483561,3,36.816608993011684,72.69687834995565,5769973.571655002
29,1403230.9556288165,0.8521075584026336,228755.21927520246,3,28.34585094802223,79.80228409347339,6715900.411570682
26,1068168.1975588629,2.181548028747706,421412.91079375433,1,56.638926390607196,90.920622892661,450249.01851128484
62,4763332.478655999,10.072533893590133,9720499.190451369,7,36.499328253747194,51.40320958029055,1431289.4248043098
39,1222347.7109375377,7.812917012545791,1187101.2715540929,4,77.36959418311886,78.25518637341489,2643617.1447134246
56,3885699.646130163,16.26549491936588,7151767.584438168,8,39.391499093732094,37.521362788790576,1664195.2807580517
43,1913582.9840437488,6.642641996790382,621291.3399544962,4,40.216225983846186,79.18413445013933,1913332.1506402295
31,1416438.1451092602,6.37243717000241,469513.09242939414,3,37.548331219509265,63.75626726229621,5091921.783148956
52,4344408.798011785,18.250018919496156,6622421.284564114,7,34.818810392126245,58.805636809217454,1710321.9700415507
40,1753537.5691135619,7.328902044535577,1680366.2124775106,4,57.801800679983614,83.0250057532619,2718215.09161027
39,1388058.3631864586,6.777640828462502,454174.086096989,2,39.26697986047694,75.4250102877825,6277251.78131759
52,5067707.151098145,19.862390013540736,7922233.67985638,5,40.738691840373974,61.975416698946546,1847507.6480138572
37,2108088.922344661,4.460845546498431,1337501.61748482,5,48.542737800888304,65.63045184766567,2194243.69746334
31,1831750.05446189,7.945452295014666,1789651.208729516,5,36.28619232547155,67.51237251310488,2904844.498603472
34,941562.4120004154,3.7034590495503963,215353.81468797193,3,42.93983866936662,54.58113924196182,5849571.576655194
37,1408675.0593035026,4.446608688073493,336858.2649701168,4,36.171705691080554,78.25468783903366,5181128.258937115
58,4978165.250705324,16.79226720516671,8002167.902083909,6,23.954975988908885,41.81559190238431,1153361.0433184174
45,4308470.505365507,15.566899095420426,8191121.344546868,5,34.065959847218586,42.03164968649834,1316756.1710235225
35,1839055.8501019876,9.170851500719714,1144544.5145544116,5,30.53995128427631,65.17102765886992,1793265.4076714194
27,1049405.5408186726,1.9131618325268014,158221.0478234098,1,42.62490347346089,90.72174898744879,443737.47778289625
55,4070403.411114012,13.648302923377974,7706200.511245856,7,32.84321177007181,72.26193000320512,1407256.5944499485
27,829165.9240765817,2.3537697112674945,319964.01840774494,1,51.92260082525777,94.72641996219942,538298.8118588026
25,1021325.8860565878,2.661462384133952,468877.4824874899,1,46.51708524460784,90.75934245377186,461670.5537943954
25,553927.3174880985,1.5830479467955112,325191.83320846653,1,70.4681218813818,94.68111434610961,540733.4223333283
40,4844513.26595558,15.012206973853276,8227727.478360988,8,41.108554172949106,63.52403911414591,1510249.1584086798
42,1740278.4797665488,7.874225932217189,1162468.8910332646,5,75.30901249984754,76.33359494925843,3159267.685866541
33,2167187.2547581233,7.019651747160084,1135789.401481098,5,59.98276697464442,70.11377694330577,2307982.003130547
38,1317378.5321679867,9.369171526871463,277168.71631606686,4,36.94852406191544,80.41092748132355,5695374.017825486
54,1248037.9449619746,3.994865923889614,535265.4384667408,2,35.55289947161871,60.168405631169136,4789646.294811355
42,1894365.2756206247,6.229670838299531,1117351.520834723,3,51.148494635223706,67.6130727406559,3281636.8864383623
22,769286.8915142913,-0.524226884358991,342148.1118767522,1,41.314965338563184,98.28163359253756,247750.1057265949
40,2013433.4088454517,7.4684732721172,784225.0020993669,3,65.82422234404099,81.25733407646356,2778602.743026491
23,1024680.4219889891,1.6843765781451183,348619.8613465398,1,33.780963750292614,90.20742760767828,628436.4653396441
26,1088346.031303086,1.987345399938451,254739.62551338103,1,51.91095213772756,94.6838523513425,373510.8174381363
48,4456069.153038081,14.08586929992882,7439782.11060168,6,49.772132418691555,49.00035679253833,2026183.1663187884
47,4941466.578810522,10.697537299089785,7096924.364799034,8,43.787890833213666,61.600983800570944,2197846.2107070633
35,1861962.2930521572,8.656447980046512,791866.9730164895,5,34.089615134789554,82.68094278863471,2311313.390595611
30,953626.2869811918,2.3226305864730827,302254.0509002204,1,60.91499091532364,99.33596506118809,632073.0213030091
51,1160299.9693684368,5.722418645271033,277834.22896308923,3,29.981796427122784,53.906913001084426,3849827.5955290655
28,1042257.8067831848,2.185463287060426,257674.79985457452,2,62.929905342046915,84.77069177870898,665586.0349917356
18,888210.5578215333,3.6291365680285974,163175.93816101432,1,53.261553313479745,88.38393941400183,354938.466248349
22,750389.775362429,2.103613898629791,189408.82821222307,2,60.90986834368929,95.18946796919936,505661.1349244937
33,1679111.0239920458,6.3686576910336825,1025533.8650298142,4,67.31436519638457,64.85430101969783,2968605.9794000536
46,2072160.6638214956,5.986514975845789,490229.36003871646,2,38.66934310330089,33.4369213864062,6319969.910807101
49,4886713.598242278,17.303994402592423,5527529.814153707,5,51.19869412274558,70.69325079897907,1777361.485405533
26,920784.7926892634,0.7159601928100865,361113.7123009397,2,35.26493548389793,95.9434608197431,536361.464034298
24,662734.7804948712,1.629361481056832,254714.16941400245,1,38.66782294954773,91.06429131652143,678566.973221703
51,4548130.027318215,13.14976364157785,6619494.432412956,8,35.61262193402484,67.00142117114758,1623404.432787475
37,1601798.7084965697,8.41561530496853,925687.4522719128,3,78.89887992284741,84.46755775087094,3085388.1462014066
28,887017.6699782143,2.6156701860373133,323613.5011785666,1,43.799410580083276,92.16229717378685,482060.671822008
41,1807638.7865252786,5.017941930005767,1512674.6467882565,3,69.11136023449816,79.27898908592525,2755229.1566364854
59,4994330.529298697,13.888008107448208,7347692.45564319,8,39.909231872519655,53.43684004829903,2525772.5960519994
35,1467063.3526155537,4.8828404631500915,417337.6343735551,3,28.165996411911163,50.80386733234076,4523416.796816601
49,1833315.2760129487,8.146331264297778,562440.2357928965,2,37.922606546317056,56.58406135088988,5671420.965909254
15,1071162.2254094128,0.5374343837766526,409752.3197456477,1,46.02897911657996,85.8839465198112,520120.96374308865
32,1016159.8516215683,1.4404931574932536,256736.42945407535,2,32.68384406124613,94.62142595281267,551763.8998919337
35,1749300.2468100346,2.4226016600797218,475304.96761463076,2,32.51290417416757,68.5885283958517,5045963.980863081
27,991541.6818638558,2.7157564596837163,233565.2940463322,2,49.24608161439965,88.15874768156262,359443.01233688614
47,1243728.8088314408,6.967110217681527,580648.7915708038,3,26.980342370238503,57.738342031720904,5818785.726648269
19,801791.2168796977,1.3773202698437916,303285.45439616457,1,38.15186270872936,86.41139774591802,390374.0083689126
53,1825387.9197608323,5.6051366157454,452550.7418442671,4,17.31723473243285,44.12145644977148,6664343.37034839
62,4390972.509727381,13.55926911100892,6696083.157130219,5,34.28807063693499,58.43822113100666,884842.7053782103
35,1476407.4346274158,7.904699374658094,447302.69674933504,2,39.53059470744236,70.86732394013002,5852097.849618944
17,1026927.3950024262,2.833449429109711,350139.82978216297,2,56.19508630488879,92.25663230348906,150354.6063635153
42,1558932.736163477,9.412465074477204,1042393.5918541565,4,56.489480938794415,73.63993403952665,2130261.5746226185
39,1714735.6688800482,10.701265153893315,1044550.7919052296,4,50.04808758385964,80.8828152619513,1609869.9589332095
53,4448105.6263081115,12.44778428585959,6403287.994041199,5,43.78470168119388,51.710346108571784,1666254.593926629
38,1877479.714457793,7.392883507156879,1399970.2391531025,3,78.05023995312692,69.31738899478891,3039979.6581521304
37,1580580.2398858373,10.98472652649087,1475865.8427053867,3,59.57828988319025,82.42179549036784,1905831.0369334435
48,5579663.051690284,13.480082648016179,7083989.884020253,5,42.91983343671832,58.13420422514904,2117974.5244517643
32,1459296.6596714444,10.080000646539176,1116738.401398076,3,86.84551666136223,92.85460857241321,2688839.5236785035
38,1419289.9412503478,4.6887875222186945,1122941.806252807,4,50.438620159582655,67.36201519092299,3168386.161398138
59,4869055.896242569,8.508956325487212,6775404.872121646,8,34.93233434263357,57.80750528081501,1490579.4636814767
27,707415.849813205,2.3047860270748703,491058.11674595193,2,45.28903849406035,82.15866862429988,765351.2532937336
33,1513140.1699010786,7.350820492833018,1570194.8114854079,5,58.161150904304186,79.57389488305178,2390576.2066363283
31,1550429.3997011206,4.561146504203052,354458.60604413506,4,35.24457719787397,42.569855253438,6527542.20668183
34,1519231.5458287206,7.407587477265452,1310724.3174883702,4,72.08845564141933,65.59124219570923,2634083.634024998
74,4394242.583409905,15.273620383346229,9166473.919556096,8,36.97165631435016,35.39870692602643,1505624.6727848074
37,2124343.5132327657,3.5167433909147707,1199289.23147423,4,58.92167302862416,74.98679289228951,1622842.9958377052
19,608121.5610926384,2.220063045832241,225481.18876489627,2,61.317048863881,86.90939181175325,514167.47040801734
58,4646104.0338217765,16.5953596836266,4342438.354081901,8,41.218254686251925,55.84622536156006,1766176.2671244554
23,932573.4708471091,1.5078288023851378,308657.4489480204,1,25.492841417925316,89.79641710847571,595754.5767763141
51,4616359.736532554,17.86141973587766,7379590.605913506,6,45.00870611624845,38.77826819220371,1396680.4367697926
35,1542723.9791976975,7.414825925845536,1355457.8535516693,3,88.68298632506082,74.27366185515233,1686328.0997879864
30,2232977.573300136,8.43982322125281,1332897.8804255894,3,78.48347987064378,79.70375749753458,1053375.894125688
45,1682765.7280185774,8.202294453309086,1086158.5133603103,3,61.734567172665784,76.51990053743039,3297000.6676073135
45,1429275.798702476,3.3847215473075996,156119.64485345554,4,33.58437392682958,53.84842667854904,7016946.4202761995
54,4864578.927970187,17.70008969528705,6568095.797511956,8,42.591658371850215,60.60692613544053,1633181.5558626389
